growth_mode,N,theta,initial_density_t,distribution,n_post,n_fire,bins_used,knee_x_simple,knee_strength,valid_knee,knee_x_lo,knee_x_hi
uniform,128,1000.0,0.55,clustered,320000,138811,54,0.6083333333333333,3269.9999999999955,True,,
uniform,128,250.0,0.55,stripes,320000,129530,52,0.6083333333333333,2129.999999999997,True,,
uniform,128,3000.0,0.55,clustered,320000,153791,51,0.6083333333333333,10919.999999999984,True,,
uniform,128,250.0,0.55,gradient,320000,129560,52,0.6083333333333333,2099.999999999997,True,,
uniform,128,1000.0,0.55,gradient,320000,138838,54,0.6083333333333333,3877.4999999999945,True,,
uniform,128,1000.0,0.55,uniform,320000,138838,54,0.6083333333333333,4574.999999999994,True,,
uniform,128,3000.0,0.55,uniform,320000,154291,52,0.6083333333333333,8467.499999999987,True,,
uniform,128,250.0,0.55,clustered,320000,129743,52,0.6083333333333333,1904.9999999999973,True,,
uniform,128,250.0,0.55,uniform,320000,129463,52,0.6083333333333333,2114.999999999997,True,,
uniform,128,500.0,0.55,clustered,320000,133278,52,0.6083333333333333,2714.999999999996,True,,
uniform,128,3000.0,0.55,stripes,320000,154291,52,0.6083333333333333,9254.999999999987,True,,
uniform,128,2000.0,0.55,gradient,320000,146162,53,0.6083333333333333,6554.999999999991,True,,
uniform,128,3000.0,0.55,gradient,320000,154291,52,0.6083333333333333,13732.49999999998,True,,
uniform,128,2000.0,0.55,uniform,320000,146162,53,0.6083333333333333,7162.49999999999,True,,
uniform,128,2000.0,0.55,clustered,320000,146297,53,0.6083333333333333,5797.499999999992,True,,
uniform,128,2000.0,0.55,stripes,320000,146162,53,0.6083333333333333,6434.999999999991,True,,
uniform,128,500.0,0.55,uniform,320000,133559,53,0.6083333333333333,2662.4999999999964,True,,
uniform,128,500.0,0.55,stripes,320000,133619,52,0.6083333333333333,2189.999999999997,True,,
uniform,128,1000.0,0.55,stripes,320000,138838,54,0.6083333333333333,3734.9999999999945,True,,
uniform,128,500.0,0.55,gradient,320000,133980,52,0.6083333333333333,2512.4999999999964,True,,
uniform,256,1000.0,0.55,gradient,320000,131483,52,0.6083333333333333,3322.499999999995,True,,
uniform,256,3000.0,0.55,gradient,320000,136604,54,0.6083333333333333,4319.999999999994,True,,
uniform,256,2000.0,0.55,clustered,320000,134317,54,0.6083333333333333,3764.9999999999945,True,,
uniform,256,500.0,0.55,gradient,320000,129172,52,0.6083333333333333,2609.9999999999964,True,,
uniform,256,2000.0,0.55,uniform,320000,134419,53,0.6083333333333333,5489.999999999992,True,,
uniform,256,500.0,0.55,uniform,320000,129206,52,0.6083333333333333,2767.499999999996,True,,
uniform,256,1000.0,0.55,stripes,320000,131680,52,0.6083333333333333,4042.499999999994,True,,
uniform,256,500.0,0.55,stripes,320000,128896,52,0.6083333333333333,2864.999999999996,True,,
uniform,256,2000.0,0.55,gradient,320000,134502,53,0.6083333333333333,4349.999999999994,True,,
uniform,256,1000.0,0.55,clustered,320000,131212,52,0.6083333333333333,3577.499999999995,True,,
uniform,256,250.0,0.55,clustered,320000,126594,50,0.6083333333333333,2459.9999999999964,True,,
uniform,256,2000.0,0.55,stripes,320000,134573,53,0.6083333333333333,4409.999999999994,True,,
uniform,256,500.0,0.55,clustered,320000,128642,52,0.6083333333333333,3044.9999999999955,True,,
uniform,256,3000.0,0.55,stripes,320000,136604,54,0.6083333333333333,4814.999999999993,True,,
uniform,256,3000.0,0.55,clustered,320000,136921,54,0.6083333333333333,5542.499999999992,True,,
uniform,256,250.0,0.55,stripes,320000,126767,50,0.6083333333333333,2182.499999999997,True,,
uniform,256,250.0,0.55,gradient,320000,126780,50,0.6083333333333333,2384.9999999999964,True,,
uniform,256,1000.0,0.55,uniform,320000,131768,52,0.6083333333333333,3599.999999999995,True,,
uniform,256,250.0,0.55,uniform,320000,126865,50,0.6083333333333333,2009.999999999997,True,,
uniform,256,3000.0,0.55,uniform,320000,136604,54,0.6083333333333333,4634.999999999994,True,,
